unnamed: 0,unnamed: 0.2,unnamed: 0.1,group,program,preferred id,facility name,sys loc code,loc name,loc type,latitude,longitude,sys sample code,sample date,medium,matrix,analyte,analyte short name,cas,detect flag,result text,result numeric,unit,lab qualifiers,detect description,method detection limit,reporting detection limit,approval code,fraction,dilution factor,result type code,analytic method,ai id,ai name,address,city,state,zip code,county
42,42,42,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,N-ethylperfluoro-1-octanesulfonamide,N-EtFOSA,4151-50-2,N,<1.15,,ng/L,<,Below Method Detection Limit,1.15,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
43,43,43,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,2-(N-ethylperfluoro-1-octanesulfonamido)-ethanol,N-EtFOSE,1691-99-2,N,<5.85,,ng/L,<,Below Method Detection Limit,5.85,20.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
44,44,44,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,N-methylperfluoro-1-octanesulfonamide,N-MeFOSA,31506-32-8,N,<1.91,,ng/L,<,Below Method Detection Limit,1.91,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
45,45,45,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,2-(N-methylperfluoro-1-octanesulfonamido)-ethanol,N-MeFOSE,24448-09-7,N,<5.32,,ng/L,<,Below Method Detection Limit,5.32,20.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
46,46,46,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,Perfluorobutanoic acid,PFBA,375-22-4,Y,79.8,79.8,ng/L,,,2.91,10.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
47,47,47,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,Perfluorobutanesulfonic acid,PFBS,375-73-5,Y,4.48,4.48,ng/L,,,0.28,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
48,48,48,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,Perfluorodecanoic acid,PFDA,335-76-2,N,<1.52,,ng/L,<,Below Method Detection Limit,1.52,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
49,49,49,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,Perfluorododecanoic acid,PFDoA,307-55-1,N,<2.06,,ng/L,<,Below Method Detection Limit,2.06,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
50,50,50,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,Perfluorododecanesulfonic acid,PFDoS,79780-39-5,N,<2.32,,ng/L,<,Below Method Detection Limit,2.32,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
51,51,51,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,Perfluorodecanesulfonic acid,PFDS,335-77-3,N,<0.98,,ng/L,<,Below Method Detection Limit,0.98,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
52,52,52,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,Perfluoroheptanoic acid,PFHpA,375-85-9,Y,9.01,9.01,ng/L,,,0.82,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
53,53,53,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,Perfluoroheptanesulfonic acid,PFHpS,375-92-8,N,<0.45,,ng/L,<,Below Method Detection Limit,0.45,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
54,54,54,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,Perfluorohexanoic acid,PFHxA,307-24-4,Y,86.3,86.3,ng/L,,,0.96,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
55,55,55,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,Perfluorohexanesulfonic acid,PFHxS,355-46-4,N,<0.93,,ng/L,<,Below Method Detection Limit,0.93,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
56,56,56,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,6/1/2023,Water,Wtr-Surf,Perfluorononanoic acid,PFNA,375-95-1,N,<0.66,,ng/L,<,Below Method Detection Limit,0.66,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
